City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,23.21,85,94,3.95,EC,1734273041
1,port-aux-francais,-49.35,70.2167,4.84,78,98,14.02,TF,1734273042
2,grytviken,-54.2811,-36.5092,5.77,72,39,0.58,GS,1734273043
3,nagqu,31.5,92.0,-7.81,26,0,1.07,CN,1734273044
4,holualoa,19.6228,-155.9522,20.91,84,0,3.6,US,1734272789
5,bilibino,68.0546,166.4372,-16.82,98,100,0.52,RU,1734273047
6,hamilton,39.1834,-84.5333,7.1,94,100,5.14,US,1734272987
7,along,28.1667,94.7667,9.31,67,0,0.37,IN,1734273051
8,jacaltenango,15.6667,-91.7333,15.24,66,5,0.52,GT,1734272755
9,margate,51.3813,1.3862,12.71,83,68,7.63,GB,1734272948
10,waitangi,-43.9535,-176.5597,16.01,97,100,0.45,NZ,1734273055
11,fiambala,-27.6871,-67.6149,26.19,29,1,5.3,AR,1734273056
12,leitchfield,37.48,-86.2939,10.1,93,80,4.47,US,1734273033
13,port mathurin,-19.6833,63.4167,25.41,80,5,6.48,MU,1734273058
14,longyearbyen,78.2186,15.6401,-6.09,68,20,8.75,SJ,1734273059
15,enewetak,11.3474,162.3373,27.93,79,64,9.45,MH,1734273061
16,aykhal,66.0,111.5,-26.25,99,60,1.86,RU,1734272918
17,saipan,15.1355,145.701,27.03,89,77,6.71,MP,1734273105
18,kodiak,57.79,-152.4072,-3.27,93,75,3.09,US,1734273106
19,akwatia,6.0402,-0.8088,36.55,24,2,1.75,GH,1734273108
20,hawaiian paradise park,19.5933,-154.9731,19.39,88,100,0.0,US,1734273109
21,yellowknife,62.456,-114.3525,-28.71,76,75,4.12,CA,1734273110
22,sovetskiy,61.3614,63.5842,-15.45,87,100,4.29,RU,1734273111
23,ancud,-41.8697,-73.8203,16.67,65,25,2.9,CL,1734273112
24,stanley,54.868,-1.6985,11.01,85,20,12.35,GB,1734273113
25,puerto natales,-51.7236,-72.4875,18.25,45,75,11.32,CL,1734273069
