City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,26.99,83,75,5.66,CC,1735510758
1,severo-yeniseyskiy,60.3725,93.0408,-9.34,93,100,3.69,RU,1735510760
2,iqaluit,63.7506,-68.5145,-25.5,84,4,1.23,CA,1735510761
3,grytviken,-54.2811,-36.5092,2.98,72,15,2.75,GS,1735510762
4,avarua,-21.2078,-159.775,29.03,84,40,5.66,CK,1735510514
5,nova vicosa,-17.8919,-39.3719,25.64,80,79,4.84,BR,1735510764
6,jamestown,42.097,-79.2353,16.12,81,100,7.72,US,1735510503
7,adamstown,-25.066,-130.1015,24.34,84,100,7.68,PN,1735510766
8,papatowai,-46.5619,169.4708,14.98,74,99,4.0,NZ,1735510768
9,udachny,66.4167,112.4,-36.77,100,85,2.09,RU,1735510769
10,harnai,30.1005,67.9374,8.96,21,49,1.07,PK,1735510770
11,bilibino,68.0546,166.4372,-34.87,78,15,2.54,RU,1735510735
12,santa cruz,-17.8,-63.1667,34.7,33,61,1.54,BO,1735510487
13,wailua homesteads,22.0669,-159.378,25.44,72,100,7.72,US,1735510773
14,st. john's,47.5649,-52.7093,-0.02,92,100,0.0,CA,1735510775
15,invercargill,-46.4,168.35,16.12,78,98,2.68,NZ,1735510776
16,sandnessjoen,66.0217,12.6316,0.23,93,100,5.66,NO,1735510777
17,tazovsky,67.4667,78.7,-19.59,99,98,3.46,RU,1735510778
18,yuzhno-kurilsk,44.0306,145.8556,-4.78,79,100,8.95,RU,1735510779
19,lata,40.1629,-8.3327,4.98,83,6,1.34,PT,1735510781
20,plesetsk,62.708,40.2916,1.02,98,100,6.26,RU,1735510783
21,edinburgh of the seven seas,-37.0676,-12.3116,14.49,67,100,4.98,SH,1735510784
22,georgetown,5.4112,100.3354,26.96,68,20,3.09,MY,1735510621
23,whitehorse,60.7161,-135.0538,-6.57,86,100,3.09,CA,1735510787
24,puerto natales,-51.7236,-72.4875,21.25,43,75,5.66,CL,1735510671
25,lazaro cardenas,17.9583,-102.2,26.64,56,0,3.75,MX,1735510789
26,waitangi,-43.9535,-176.5597,14.34,98,100,2.24,NZ,1735510790
27,aasiaat,68.7098,-52.8699,-26.48,88,29,2.72,GL,1735510791
28,muynoq,43.7683,59.0214,3.12,96,100,2.15,UZ,1735510792
29,sisimiut,66.9395,-53.6735,-14.53,65,0,4.76,GL,1735510794
30,afaahiti,-17.75,-149.2833,26.39,73,94,3.29,PF,1735510795
31,mili,6.0815,171.735,27.71,75,100,8.12,MH,1735510796
32,bethel,41.3712,-73.414,12.41,87,100,0.89,US,1735510797
33,port lincoln,-34.7333,135.8667,19.14,69,100,1.74,AU,1735510798
34,tiksi,71.6872,128.8694,-32.9,98,69,2.29,RU,1735510799
35,blackmans bay,-43.0167,147.3167,18.74,64,84,0.45,AU,1735510800
36,zhuanghe,39.7008,122.9911,-1.25,66,0,2.32,CN,1735510801
37,tumaco,1.7986,-78.8156,24.09,92,100,1.05,CO,1735510803
38,chonchi,-42.6128,-73.8092,18.95,52,100,1.31,CL,1735510805
39,utrik,11.2278,169.8474,27.01,75,50,9.3,MH,1735510806
40,cam ranh,11.9214,109.1591,23.98,69,75,3.09,VN,1735510807
41,mirny,62.5353,113.9611,-30.75,100,100,1.05,RU,1735510808
42,plouzane,48.3833,-4.6167,8.27,87,100,1.03,FR,1735510809
43,buka,40.8108,69.1986,4.31,75,100,1.86,UZ,1735510811
44,hasaki,35.7333,140.8333,6.59,40,72,1.67,JP,1735510812
45,maicanesti,45.5,27.5,1.36,84,7,2.72,RO,1735510813
46,kodiak,57.79,-152.4072,-2.27,93,100,1.54,US,1735510814
47,natal,-5.795,-35.2094,27.12,83,40,6.17,BR,1735510815
48,susuman,62.7833,148.1667,-30.99,97,100,1.38,RU,1735510817
49,olyokminsk,60.3736,120.4264,-29.14,98,98,0.44,RU,1735510818
50,barah,13.7,30.3667,17.97,21,0,5.08,SD,1735510819
51,margaret river,-33.95,115.0667,14.68,92,15,3.82,AU,1735510820
52,port elizabeth,-33.918,25.5701,22.95,98,20,6.17,ZA,1735510810
53,port-aux-francais,-49.35,70.2167,4.61,76,27,11.8,TF,1735510823
54,paradip garh,20.3167,86.6167,21.15,76,0,2.03,IN,1735510824
55,longyearbyen,78.2186,15.6401,-14.09,56,20,6.69,SJ,1735510825
56,monjaras,13.2006,-87.3742,28.43,73,100,4.57,HN,1735510827
57,port mathurin,-19.6833,63.4167,25.41,74,94,7.57,MU,1735510828
58,cockburn town,21.4612,-71.1419,24.48,64,100,6.87,TC,1735510829
59,gaigeturi,33.4644,126.3183,7.03,70,0,3.09,KR,1735510830
60,northam,51.0333,-4.2167,8.78,87,36,1.34,GB,1735510832
61,kerikeri,-35.2268,173.9474,24.06,47,6,1.61,NZ,1735510833
62,ilulissat,69.2167,-51.1,-14.99,56,0,1.54,GL,1735510834
63,oyem,1.5995,11.5793,21.5,90,76,1.27,GA,1735510835
64,zhosaly,45.4878,64.0781,-2.35,95,100,2.25,KZ,1735510837
65,egilsstadir,65.2653,-14.3948,-12.05,72,0,2.06,IS,1735510838
66,bahir dar,11.5936,37.3908,18.0,50,46,1.17,ET,1735510839
67,stanley,54.868,-1.6985,9.74,77,40,10.29,GB,1735510840
68,yelizovo,53.1873,158.3805,-13.92,66,0,2.0,RU,1735510572
69,calderitas,18.55,-88.25,29.06,79,75,4.12,MX,1735510844
70,kecel,46.5253,19.2519,1.51,73,15,2.35,HU,1735510845
71,jaffa,32.0504,34.7522,12.83,87,75,2.57,IL,1735510846
72,icano,-28.9193,-65.3282,34.62,25,3,8.39,AR,1735510776
73,santa ana,33.7456,-117.8678,16.82,91,100,0.0,US,1735510849
74,thompson,55.7435,-97.8558,-2.91,93,100,1.03,CA,1735510850
75,yellowknife,62.456,-114.3525,-6.99,99,100,3.6,CA,1735510851
76,ribeira grande,38.5167,-28.7,18.21,86,90,8.94,PT,1735510853
77,el hadjira,32.6134,5.5126,9.51,65,78,2.9,DZ,1735510854
78,puerto baquerizo moreno,-0.9,-89.6,26.55,74,40,6.69,EC,1735510855
79,sheregesh,52.9209,87.9869,-8.09,96,100,1.63,RU,1735510858
80,kayangel,8.0823,134.7173,28.79,77,100,7.7,PW,1735510859
81,cromer,52.9312,1.2989,8.0,81,10,7.15,GB,1735510860
82,sakiet sidi youssef,36.2229,8.3555,5.37,86,0,0.49,TN,1735510862
83,morondava,-20.2833,44.2833,26.15,84,96,1.8,MG,1735510863
84,albany,42.6001,-73.9662,10.32,98,100,2.19,US,1735510864
85,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1735510866
86,benghazi,32.1167,20.0667,14.8,68,16,2.24,LY,1735510601
87,ulsteinvik,62.3432,5.8487,2.95,79,99,2.68,NO,1735510868
88,mellrichstadt,50.4333,10.3167,-2.79,75,10,1.14,DE,1735510869
89,hammerfest,70.6634,23.6821,1.25,75,0,2.57,NO,1735510871
90,kalmunai,7.4167,81.8167,24.14,92,94,3.38,LK,1735510872
91,klyuchi,52.2667,79.1667,-11.6,97,91,3.12,RU,1735510873
92,kokuy,52.2037,117.5529,-23.81,100,99,0.36,RU,1735510874
93,magistral'nyy,56.1725,107.4458,-11.89,93,98,2.5,RU,1735510875
94,falun,60.6036,15.626,5.23,97,100,2.24,SE,1735510821
95,east london,-33.0153,27.9116,23.61,92,84,6.19,ZA,1735510813
96,coron,11.9986,120.2043,26.92,79,100,6.27,PH,1735510879
97,suva,-18.1416,178.4415,27.71,74,75,2.06,FJ,1735510880
